epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1655.57,1.01524,0.76904,1.17536,0.87412,0.77579,0.85665,0.60033,1.02917,0.9113,1.21191,0.0012608,0.0012608,0.0012608
58,1683.66,1.01426,0.78079,1.19452,0.80529,0.77053,0.83815,0.57906,1.09404,0.9709,1.27965,0.0012476,0.0012476,0.0012476
59,1713.08,0.9959,0.77394,1.1787,0.8521,0.77019,0.85917,0.60166,1.05139,0.93196,1.24375,0.0012344,0.0012344,0.0012344
60,1742.8,0.96132,0.7502,1.16015,0.82136,0.79053,0.84755,0.57899,1.09145,0.93067,1.27543,0.0012212,0.0012212,0.0012212
61,1769.89,1.00548,0.77274,1.18287,0.88332,0.80421,0.90467,0.63112,1.06162,0.74391,1.22159,0.001208,0.001208,0.001208
62,1799.15,0.97899,0.74892,1.18195,0.8594,0.79579,0.88799,0.6218,1.05649,0.83093,1.22639,0.0011948,0.0011948,0.0011948
63,1827.92,0.97474,0.73188,1.17983,0.77958,0.78556,0.84085,0.58134,1.06869,0.99776,1.25506,0.0011816,0.0011816,0.0011816
64,1856.42,0.99226,0.75196,1.17677,0.85991,0.76243,0.87684,0.61113,1.02879,0.87273,1.24787,0.0011684,0.0011684,0.0011684
65,1886.13,0.9917,0.76276,1.17867,0.71332,0.82,0.8037,0.57257,1.04128,1.00862,1.21967,0.0011552,0.0011552,0.0011552
66,1913.86,0.9849,0.76109,1.16986,0.82009,0.77789,0.86696,0.60091,1.08804,0.91751,1.25606,0.001142,0.001142,0.001142
67,1943.36,0.96914,0.72908,1.15669,0.86379,0.77474,0.87611,0.59225,1.12503,0.84592,1.30618,0.0011288,0.0011288,0.0011288
68,1972.66,0.95879,0.73909,1.15933,0.81916,0.82014,0.86585,0.60477,1.03255,0.94053,1.24058,0.0011156,0.0011156,0.0011156
69,2000.28,0.97931,0.7378,1.15869,0.84744,0.77895,0.86306,0.59664,1.11562,0.86701,1.24954,0.0011024,0.0011024,0.0011024
70,2030.14,0.94954,0.71299,1.15641,0.77285,0.78526,0.85078,0.60194,1.03803,0.92475,1.22782,0.0010892,0.0010892,0.0010892
71,2058.55,0.95813,0.72221,1.15475,0.76124,0.76183,0.81166,0.58234,1.04836,1.06577,1.22315,0.001076,0.001076,0.001076
72,2087.46,0.93424,0.71276,1.14252,0.85715,0.79583,0.88827,0.62948,1.00733,0.80367,1.22552,0.0010628,0.0010628,0.0010628
73,2117.76,0.94448,0.7283,1.14242,0.80105,0.82225,0.87097,0.61875,1.00717,0.81991,1.1804,0.0010496,0.0010496,0.0010496
74,2145.25,0.92149,0.70751,1.13745,0.80634,0.7933,0.85529,0.60352,1.06138,0.96295,1.25623,0.0010364,0.0010364,0.0010364
75,2175,0.9244,0.68075,1.13549,0.82583,0.82354,0.87425,0.62016,1.02684,0.87022,1.23083,0.0010232,0.0010232,0.0010232
76,2203.63,0.92685,0.67099,1.13554,0.83271,0.76737,0.85079,0.60963,1.02216,0.9379,1.22006,0.00101,0.00101,0.00101
77,2232.29,0.93044,0.70394,1.12662,0.86353,0.78737,0.87042,0.62047,1.04305,0.83644,1.21697,0.0009968,0.0009968,0.0009968
78,2262.43,0.92531,0.69818,1.14093,0.86119,0.80325,0.87587,0.60207,1.1008,0.81182,1.30549,0.0009836,0.0009836,0.0009836
79,2289.8,0.93374,0.69824,1.14951,0.83064,0.82842,0.86645,0.59834,1.08372,0.83416,1.26553,0.0009704,0.0009704,0.0009704
80,2319.75,0.91435,0.67301,1.13455,0.8135,0.82211,0.86509,0.61771,1.05371,0.83236,1.24027,0.0009572,0.0009572,0.0009572
81,2348.99,0.91041,0.64805,1.11863,0.84823,0.81773,0.87816,0.62572,1.00543,0.87369,1.19723,0.000944,0.000944,0.000944
82,2377.15,0.91532,0.67417,1.13518,0.86023,0.82277,0.88238,0.62064,1.054,0.83636,1.25126,0.0009308,0.0009308,0.0009308
83,2406.64,0.91046,0.681,1.13591,0.81304,0.78733,0.84799,0.60945,1.02178,0.9327,1.22545,0.0009176,0.0009176,0.0009176
84,2434.47,0.88241,0.64947,1.12017,0.88457,0.79862,0.89341,0.6281,1.02928,0.78987,1.23888,0.0009044,0.0009044,0.0009044
85,2465.64,0.87569,0.63625,1.10883,0.80261,0.78737,0.85468,0.60182,1.04746,0.94775,1.27436,0.0008912,0.0008912,0.0008912
86,2496.1,0.8661,0.63228,1.10121,0.86071,0.77474,0.8611,0.62102,1.01628,0.89127,1.21699,0.000878,0.000878,0.000878
87,2523.51,0.88896,0.63673,1.10034,0.84264,0.78349,0.86494,0.63058,1.0011,0.84996,1.21039,0.0008648,0.0008648,0.0008648
88,2553.76,0.90413,0.6517,1.12928,0.82631,0.80122,0.87187,0.62277,1.01965,0.80974,1.2324,0.0008516,0.0008516,0.0008516
89,2581.79,0.8604,0.63407,1.10107,0.83477,0.8296,0.88489,0.63595,1.00321,0.81305,1.21076,0.0008384,0.0008384,0.0008384
90,2611.03,0.86023,0.62543,1.10146,0.88013,0.82105,0.90315,0.60906,1.13533,0.76229,1.29479,0.0008252,0.0008252,0.0008252
91,2640.73,0.8493,0.61571,1.09628,0.88118,0.83579,0.90831,0.64331,1.0264,0.71515,1.21723,0.000812,0.000812,0.000812
92,2668.67,0.86638,0.63247,1.10697,0.81344,0.79862,0.87897,0.63305,1.01616,0.81647,1.20619,0.0007988,0.0007988,0.0007988
93,2697.56,0.88578,0.63052,1.11545,0.86143,0.82,0.89873,0.64085,1.0087,0.72756,1.21442,0.0007856,0.0007856,0.0007856
94,2726.63,0.84598,0.61985,1.08956,0.84346,0.81103,0.87803,0.63335,0.98469,0.80415,1.18424,0.0007724,0.0007724,0.0007724
95,2754.33,0.85315,0.60793,1.08543,0.88149,0.81895,0.89742,0.64853,0.99887,0.73888,1.21042,0.0007592,0.0007592,0.0007592
96,2784.13,0.85523,0.61706,1.09698,0.87079,0.80162,0.87672,0.61324,1.03917,0.77633,1.24388,0.000746,0.000746,0.000746
97,2812.48,0.84873,0.5832,1.0965,0.87272,0.82947,0.88848,0.63123,1.02568,0.74654,1.22937,0.0007328,0.0007328,0.0007328
98,2841.94,0.87349,0.61242,1.10056,0.887,0.81895,0.9014,0.6404,1.02092,0.76107,1.2125,0.0007196,0.0007196,0.0007196
99,2871.76,0.82336,0.59436,1.06531,0.84941,0.83053,0.89165,0.63762,1.01773,0.752,1.21662,0.0007064,0.0007064,0.0007064
100,2899.81,0.82311,0.58739,1.08351,0.89477,0.82737,0.90715,0.66078,0.98428,0.71435,1.20561,0.0006932,0.0006932,0.0006932
101,2929.49,0.83675,0.58129,1.08182,0.89639,0.82105,0.89637,0.64713,0.98122,0.73733,1.19564,0.00068,0.00068,0.00068
102,2957.8,0.81865,0.57432,1.07989,0.91339,0.81038,0.90723,0.65692,0.9787,0.70418,1.1944,0.0006668,0.0006668,0.0006668
103,2986.4,0.8158,0.57703,1.07888,0.88086,0.76842,0.88828,0.6381,0.97866,0.80947,1.19653,0.0006536,0.0006536,0.0006536
104,3017.2,0.81516,0.56478,1.05439,0.86586,0.81789,0.89841,0.64127,1.00778,0.75812,1.22259,0.0006404,0.0006404,0.0006404
105,3044.72,0.80903,0.56429,1.06658,0.82897,0.80737,0.87464,0.6263,0.97418,0.82131,1.18309,0.0006272,0.0006272,0.0006272
106,3074.48,0.79216,0.56381,1.06564,0.81741,0.81789,0.86405,0.62545,0.97916,0.87856,1.19172,0.000614,0.000614,0.000614
107,3103.47,0.80373,0.57892,1.08182,0.81152,0.80675,0.87009,0.62306,1.00191,0.85048,1.21608,0.0006008,0.0006008,0.0006008
108,3132.65,0.79105,0.55498,1.05857,0.85779,0.81789,0.90374,0.64994,0.98985,0.72371,1.20943,0.0005876,0.0005876,0.0005876
109,3162.13,0.79598,0.56609,1.05825,0.87177,0.81579,0.90676,0.6458,0.99147,0.73068,1.1969,0.0005744,0.0005744,0.0005744
110,3189.7,0.777,0.55031,1.06002,0.86252,0.81474,0.89677,0.63563,1.01373,0.80507,1.23316,0.0005612,0.0005612,0.0005612
111,3219.72,0.77177,0.54833,1.05723,0.90287,0.83474,0.91332,0.6619,0.97559,0.68443,1.18674,0.000548,0.000548,0.000548
112,3248.4,0.78007,0.54191,1.05626,0.89651,0.83789,0.91085,0.64912,0.99362,0.71133,1.20536,0.0005348,0.0005348,0.0005348
113,3276.94,0.76449,0.53394,1.05995,0.83418,0.80493,0.86882,0.62975,0.97339,0.83234,1.21515,0.0005216,0.0005216,0.0005216
114,3306.89,0.77695,0.54309,1.05197,0.87631,0.83368,0.90417,0.65741,0.97922,0.70895,1.1984,0.0005084,0.0005084,0.0005084
115,3334.25,0.78638,0.55187,1.06704,0.8764,0.83263,0.90189,0.64898,0.99984,0.73621,1.2158,0.0004952,0.0004952,0.0004952
116,3364.8,0.75964,0.52947,1.04265,0.88598,0.83433,0.90789,0.65367,1.00335,0.70669,1.21022,0.000482,0.000482,0.000482
117,3393.8,0.77101,0.53532,1.05062,0.86486,0.80839,0.89848,0.65188,0.99134,0.76721,1.20729,0.0004688,0.0004688,0.0004688
118,3423.15,0.77158,0.51982,1.05027,0.86705,0.81007,0.89337,0.64637,1.00933,0.78174,1.21398,0.0004556,0.0004556,0.0004556
119,3453.37,0.75994,0.51811,1.05117,0.88877,0.81789,0.90203,0.65457,1.00267,0.73642,1.20677,0.0004424,0.0004424,0.0004424
120,3481.36,0.77807,0.53606,1.06207,0.88508,0.81884,0.89661,0.64348,0.99067,0.72542,1.20627,0.0004292,0.0004292,0.0004292
121,3510.77,0.75431,0.52166,1.04047,0.87767,0.80632,0.89355,0.64438,0.99876,0.74005,1.21642,0.000416,0.000416,0.000416
122,3539.44,0.75719,0.52363,1.0488,0.88303,0.81263,0.89568,0.64402,1.01069,0.747,1.23344,0.0004028,0.0004028,0.0004028
123,3568.5,0.74531,0.51526,1.03426,0.87073,0.81579,0.89363,0.64292,1.01332,0.7732,1.23024,0.0003896,0.0003896,0.0003896
124,3597.98,0.7428,0.50745,1.02575,0.87998,0.80269,0.88852,0.6456,0.99491,0.7966,1.21623,0.0003764,0.0003764,0.0003764
125,3625.33,0.7357,0.50575,1.03204,0.86775,0.80211,0.88279,0.63888,0.99828,0.76652,1.2218,0.0003632,0.0003632,0.0003632
126,3654.82,0.73353,0.49348,1.02138,0.87532,0.80553,0.88825,0.64136,1.0317,0.7715,1.25714,0.00035,0.00035,0.00035
127,3683.57,0.73094,0.50243,1.03393,0.89345,0.82737,0.90129,0.6611,0.97109,0.72879,1.20007,0.0003368,0.0003368,0.0003368
128,3712.19,0.70598,0.47222,1.02116,0.89642,0.81789,0.89873,0.65818,0.98651,0.76611,1.2238,0.0003236,0.0003236,0.0003236
129,3742.46,0.71428,0.50497,1.02163,0.89099,0.83263,0.90895,0.66201,0.98303,0.69278,1.21473,0.0003104,0.0003104,0.0003104
130,3769.97,0.71432,0.48363,1.0344,0.86496,0.83895,0.90222,0.6509,0.98873,0.74317,1.21439,0.0002972,0.0002972,0.0002972
