epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2601.23,0.99087,0.78818,1.29012,0.81101,0.80404,0.85831,0.6014,1.03367,0.89543,1.46946,0.0011156,0.0011156,0.0011156
69,2639.84,1.0091,0.79298,1.31181,0.70486,0.78434,0.79209,0.56243,0.99004,1.03631,1.41227,0.0011024,0.0011024,0.0011024
70,2678.88,0.95234,0.76212,1.27021,0.79492,0.77579,0.85136,0.6144,0.99354,0.86318,1.39941,0.0010892,0.0010892,0.0010892
71,2717.66,0.9849,0.78104,1.29293,0.78864,0.72316,0.80803,0.58158,0.98814,1.0706,1.40751,0.001076,0.001076,0.001076
72,2755.22,0.97657,0.77228,1.28554,0.80549,0.74541,0.83125,0.60257,0.97841,0.99386,1.3812,0.0010628,0.0010628,0.0010628
73,2792.69,0.99812,0.78614,1.29315,0.77942,0.76737,0.82388,0.60448,0.96586,0.93815,1.36307,0.0010496,0.0010496,0.0010496
74,2830.71,0.96515,0.75697,1.28027,0.77935,0.75579,0.804,0.53994,1.12477,1.11608,1.53483,0.0010364,0.0010364,0.0010364
75,2868.96,0.96334,0.77322,1.26932,0.80302,0.75263,0.83118,0.57427,1.03656,1.06215,1.42581,0.0010232,0.0010232,0.0010232
76,2906.93,0.95691,0.7343,1.27997,0.75713,0.80421,0.8486,0.61665,0.98319,0.95746,1.4224,0.00101,0.00101,0.00101
77,2945.46,0.95385,0.73964,1.25774,0.80203,0.76105,0.82889,0.58557,1.00743,0.89802,1.42661,0.0009968,0.0009968,0.0009968
78,2983.8,0.96851,0.76121,1.26887,0.72777,0.79076,0.76532,0.54921,1.00287,1.08938,1.37493,0.0009836,0.0009836,0.0009836
79,3021.62,0.94612,0.74729,1.27024,0.78803,0.76947,0.83934,0.60348,0.99346,1.0041,1.4171,0.0009704,0.0009704,0.0009704
80,3059.09,0.97006,0.74379,1.2844,0.74043,0.76316,0.78117,0.56612,1.00452,1.06775,1.39439,0.0009572,0.0009572,0.0009572
81,3096.99,0.94578,0.72145,1.25614,0.77162,0.74316,0.80953,0.56566,1.00508,1.07268,1.43807,0.000944,0.000944,0.000944
82,3134.49,0.95527,0.75498,1.27553,0.83745,0.77368,0.84827,0.61022,1.00075,0.89288,1.42995,0.0009308,0.0009308,0.0009308
83,3172.45,0.93437,0.73975,1.25621,0.75168,0.75198,0.80244,0.57789,0.97904,1.04815,1.38366,0.0009176,0.0009176,0.0009176
84,3210.77,0.92004,0.70204,1.24006,0.77984,0.74943,0.8074,0.5756,1.03266,1.08089,1.43705,0.0009044,0.0009044,0.0009044
85,3248.77,0.91549,0.70555,1.23237,0.75191,0.75928,0.79917,0.58829,0.97009,1.00811,1.37962,0.0008912,0.0008912,0.0008912
86,3285.69,0.8928,0.68266,1.21823,0.87185,0.78316,0.8757,0.63386,0.98297,0.7939,1.39949,0.000878,0.000878,0.000878
87,3323.06,0.92667,0.6982,1.23503,0.79049,0.74105,0.82096,0.59317,0.99994,0.9245,1.4088,0.0008648,0.0008648,0.0008648
88,3361.27,0.92855,0.71248,1.24306,0.86187,0.75158,0.85179,0.61852,0.98974,0.86897,1.40769,0.0008516,0.0008516,0.0008516
89,3399.55,0.91149,0.71948,1.23255,0.85055,0.78526,0.85973,0.60904,0.99743,0.84712,1.42961,0.0008384,0.0008384,0.0008384
90,3438.12,0.89808,0.68087,1.22605,0.78518,0.78875,0.84312,0.60297,0.99472,0.90173,1.41404,0.0008252,0.0008252,0.0008252
91,3476.94,0.88162,0.68533,1.21949,0.83207,0.77579,0.84917,0.60575,0.97875,0.92356,1.40732,0.000812,0.000812,0.000812
92,3515.05,0.89373,0.69752,1.23239,0.87854,0.73853,0.85858,0.60614,1.03235,0.85972,1.43629,0.0007988,0.0007988,0.0007988
93,3552.29,0.90941,0.69474,1.24035,0.87307,0.73368,0.86038,0.63167,0.96358,0.84089,1.387,0.0007856,0.0007856,0.0007856
94,3589.87,0.89754,0.68025,1.23384,0.82624,0.77083,0.86105,0.61787,0.97443,0.89572,1.39777,0.0007724,0.0007724,0.0007724
95,3628.12,0.89705,0.67455,1.22266,0.86922,0.77657,0.86881,0.63367,0.99473,0.83265,1.39734,0.0007592,0.0007592,0.0007592
96,3666.34,0.87531,0.66573,1.20882,0.86628,0.75053,0.86995,0.62867,0.97102,0.80307,1.38249,0.000746,0.000746,0.000746
97,3705.16,0.89777,0.65819,1.2296,0.89223,0.76105,0.86525,0.63043,0.99718,0.84197,1.41029,0.0007328,0.0007328,0.0007328
98,3743.63,0.89159,0.66516,1.21752,0.78543,0.76211,0.84405,0.61987,0.97599,0.9067,1.40102,0.0007196,0.0007196,0.0007196
99,3781.49,0.85492,0.67361,1.1909,0.83963,0.79909,0.87209,0.64058,0.95303,0.78634,1.37844,0.0007064,0.0007064,0.0007064
100,3818.87,0.86455,0.6575,1.1997,0.82761,0.77823,0.85163,0.61546,1.011,0.89929,1.44384,0.0006932,0.0006932,0.0006932
101,3856.57,0.87008,0.63713,1.19493,0.80842,0.76846,0.84446,0.60912,1.02443,0.8934,1.46685,0.00068,0.00068,0.00068
102,3894.54,0.84923,0.63191,1.18341,0.74551,0.76421,0.81106,0.59882,0.99378,1.04077,1.39236,0.0006668,0.0006668,0.0006668
103,3932.89,0.8628,0.65176,1.21169,0.80123,0.77789,0.86009,0.63366,0.97702,0.87988,1.36938,0.0006536,0.0006536,0.0006536
104,3971.24,0.85769,0.62053,1.18173,0.86332,0.79474,0.87759,0.64469,0.97743,0.79097,1.38384,0.0006404,0.0006404,0.0006404
105,4009.58,0.85519,0.63135,1.18847,0.82695,0.73053,0.83239,0.59615,1.01352,0.94935,1.43124,0.0006272,0.0006272,0.0006272
106,4047,0.84727,0.65749,1.21003,0.81663,0.76414,0.84077,0.61241,0.98062,0.95575,1.38992,0.000614,0.000614,0.000614
107,4084.6,0.84369,0.64143,1.19503,0.84628,0.75895,0.85115,0.62599,0.98783,0.88474,1.40064,0.0006008,0.0006008,0.0006008
108,4122.48,0.81505,0.60263,1.17234,0.78203,0.76947,0.83828,0.62462,0.94537,0.92482,1.3665,0.0005876,0.0005876,0.0005876
109,4160.35,0.84941,0.62595,1.19731,0.85408,0.78245,0.86137,0.6463,0.95696,0.79554,1.37384,0.0005744,0.0005744,0.0005744
110,4198.47,0.8318,0.6197,1.18457,0.86919,0.79037,0.88422,0.6431,0.98211,0.76566,1.39601,0.0005612,0.0005612,0.0005612
111,4236.8,0.81482,0.59559,1.17323,0.86818,0.76737,0.87156,0.62986,1.00809,0.81123,1.44706,0.000548,0.000548,0.000548
112,4275.44,0.82452,0.60164,1.17162,0.7779,0.79474,0.82818,0.60813,0.97754,0.91972,1.41429,0.0005348,0.0005348,0.0005348
113,4313.25,0.8077,0.60435,1.17574,0.78999,0.75684,0.83036,0.61584,0.98448,0.92566,1.40924,0.0005216,0.0005216,0.0005216
114,4351.26,0.81922,0.58938,1.17039,0.86618,0.78356,0.86858,0.62926,1.01345,0.77965,1.43917,0.0005084,0.0005084,0.0005084
115,4389.35,0.84904,0.62761,1.20129,0.84974,0.77263,0.86194,0.627,1.00756,0.81424,1.44863,0.0004952,0.0004952,0.0004952
116,4426.88,0.79929,0.58373,1.16381,0.82362,0.80612,0.86869,0.62433,1.04497,0.85562,1.47753,0.000482,0.000482,0.000482
117,4464.53,0.80907,0.59308,1.16583,0.85501,0.80075,0.87906,0.62211,1.03172,0.8021,1.49309,0.0004688,0.0004688,0.0004688
118,4503.34,0.81241,0.58644,1.16328,0.8598,0.80211,0.87394,0.65124,0.94732,0.77856,1.37399,0.0004556,0.0004556,0.0004556
119,4542.05,0.80584,0.57782,1.16796,0.87757,0.79228,0.88072,0.64833,0.96169,0.74151,1.39768,0.0004424,0.0004424,0.0004424
120,4580.09,0.82882,0.60871,1.18643,0.88008,0.78421,0.87808,0.63036,0.97795,0.81458,1.42603,0.0004292,0.0004292,0.0004292
121,4617.89,0.7911,0.5757,1.14151,0.87133,0.79123,0.87215,0.63617,0.98272,0.81047,1.42248,0.000416,0.000416,0.000416
122,4655.98,0.80348,0.58232,1.1644,0.86662,0.76632,0.86277,0.62741,0.9811,0.79596,1.42499,0.0004028,0.0004028,0.0004028
