epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1992.69,0.97991,0.76624,1.15513,0.87293,0.80269,0.883,0.61557,1.02619,0.77873,1.19825,0.0010232,0.0010232,0.0010232
76,2019.73,0.98494,0.75306,1.15417,0.74038,0.78105,0.77521,0.53112,1.09071,1.02116,1.28109,0.00101,0.00101,0.00101
77,2045.11,0.98305,0.77499,1.14494,0.87204,0.80105,0.87753,0.6313,1.02881,0.83333,1.20114,0.0009968,0.0009968,0.0009968
78,2072.72,0.98009,0.77055,1.15859,0.84447,0.79447,0.86522,0.60491,1.05526,0.8657,1.22716,0.0009836,0.0009836,0.0009836
79,2098.16,0.9819,0.77291,1.16611,0.88956,0.76737,0.87387,0.61411,1.05349,0.84924,1.22735,0.0009704,0.0009704,0.0009704
80,2125.98,0.96352,0.76213,1.15209,0.85706,0.76421,0.86127,0.61159,1.01899,0.94162,1.20494,0.0009572,0.0009572,0.0009572
81,2150.93,0.98513,0.7393,1.14573,0.88441,0.74947,0.8657,0.60755,1.02108,0.84937,1.20088,0.000944,0.000944,0.000944
82,2178.87,0.98698,0.78019,1.16322,0.86973,0.76599,0.86017,0.61378,0.99325,0.8708,1.19136,0.0009308,0.0009308,0.0009308
83,2204.03,0.9644,0.75584,1.15605,0.73525,0.80975,0.82419,0.5776,1.04974,1.00099,1.22476,0.0009176,0.0009176,0.0009176
84,2231.65,0.95549,0.73375,1.14702,0.86197,0.75474,0.8636,0.59648,1.0651,0.85702,1.25239,0.0009044,0.0009044,0.0009044
85,2257.04,0.94817,0.72048,1.13364,0.77734,0.81263,0.8432,0.59249,1.03103,0.86089,1.21566,0.0008912,0.0008912,0.0008912
86,2283.65,0.93067,0.71081,1.12782,0.89505,0.82,0.9047,0.63473,1.04253,0.76258,1.21638,0.000878,0.000878,0.000878
87,2309.99,0.97303,0.72679,1.14186,0.80075,0.82316,0.87638,0.62493,1.00551,0.82529,1.18753,0.0008648,0.0008648,0.0008648
88,2335.88,0.96271,0.74726,1.13666,0.79182,0.81677,0.86324,0.6084,1.01047,0.8873,1.20179,0.0008516,0.0008516,0.0008516
89,2363,0.94878,0.71913,1.1325,0.77321,0.80632,0.8565,0.59237,1.06445,0.90132,1.22581,0.0008384,0.0008384,0.0008384
90,2388.57,0.95133,0.71757,1.14334,0.81885,0.79053,0.85675,0.60152,1.02894,0.8874,1.19944,0.0008252,0.0008252,0.0008252
91,2416.04,0.93054,0.70774,1.13595,0.87158,0.78587,0.85989,0.607,1.00164,0.85668,1.19514,0.000812,0.000812,0.000812
92,2440.89,0.94742,0.72146,1.14465,0.83595,0.79922,0.86667,0.60726,1.02995,0.85873,1.2183,0.0007988,0.0007988,0.0007988
93,2469.26,0.97372,0.74439,1.15223,0.83073,0.78524,0.85297,0.5883,1.07082,0.88301,1.23088,0.0007856,0.0007856,0.0007856
94,2493.8,0.94919,0.72514,1.13631,0.81956,0.79895,0.86603,0.60283,1.04675,0.87651,1.24563,0.0007724,0.0007724,0.0007724
95,2521.46,0.93497,0.70031,1.12451,0.86209,0.81368,0.87864,0.62815,1.01383,0.82599,1.21464,0.0007592,0.0007592,0.0007592
96,2546.77,0.92796,0.68674,1.12652,0.9203,0.80842,0.90073,0.63727,1.00756,0.73046,1.19996,0.000746,0.000746,0.000746
